,heading,content,extract_tag,len_cut_heading,len_cut_content,labels
0,中國交通建設集團印尼子公司欲建30座公寓大樓- 中國貿促會,2016年 - 中國交通建設集團（CCCG）有限公司通過其在印尼子公司，印尼中國港灣公司（PT China Harbour Indonesia）正準備建設計劃，以在印尼尤其是在,中國 建設 集團 欲建 30 大樓 中國貿 促會 公寓 印尼 子公司 交通 印尼 中國 建設 2016 集團 CCCG 通過 港灣 PT China Harbour Indonesia 正準備 計劃 子公司 交通 尤其 有限公司 公司,12.0,19.0,0
1,中國大手筆全球買港口：戰略布局一帶一路| 早報,2016年 - 據《俄羅斯報》報道，專傢認為，北京意在控製海上交通要道，確保本國  承攬基建工程的中國交通建設股份有限公司也將自2019年起，於,中國大 手筆 戰略 一帶 早報 港口 一路 布局 全球 2016 俄羅斯報 報道 認為 承攬 中國 建設 將自 2019 基建工程 保本 交通要道 意在 海上 交通 有限公司 股份 北京,9.0,18.0,0
2,中俄博鰲簽約197億將應用區塊鏈技術共同開發遠東_區塊鏈_金色財經,2018年 - 就在剛剛閉幕的博鰲亞洲論壇2018年年會上，俄羅斯國有政策基金——  中交産業投資控股有限公司(以下簡稱“中交産投”)是中國交通建設集團有限,區塊 中俄博 簽約 197 億將 應用 鏈技術 開發 遠東 財經 金色 共同 2018 中交 剛剛 閉幕 博鰲亞洲 論壇 俄羅斯國 業投資 簡稱 中國 建設 集團 有限 控股 交通 有限公司 以下 政策 基金,12.0,19.0,1
3,俄羅斯大歐亞夥伴關係倡議的形成、 實踐及其影響 - 歐亞經濟,齣瞭大歐亞夥伴關係倡議ꎮ 該倡議的提齣既有深刻的俄羅斯國內外背景ꎬ. 也有曆史和  吸引私人投資ꎬ 它正與中國交通建設集團有限公司、 山東省路橋集團有限.,俄羅斯大 歐亞夥 伴關 倡議 實踐 影響 歐亞 經濟 及其 形成 倡議 集團 瞭大 歐亞夥 伴關 俄羅斯國 內外 投資 中國 建設 山東省 路橋 既有 私人 深刻 吸引 有限 交通 背景 有限公司,10.0,20.0,0
4,豐富經驗引領更高迴報 - Deloitte,2014年 - 今年五月中國宣布. 將投資興建連接肯尼亞港口城市濛巴薩、烏乾. 達、布隆迪和南蘇丹。中國交通建設集團擔任. 這一價值38億美元鐵路項目的總,豐富 經驗 引領 Deloitte 中國 肯尼 2014 將投資興 建連接 巴薩 烏乾 南蘇丹 建設 集團 擔任 這一價值 38 鐵路項 布隆迪 港口城市 五月 交通 目的 宣布 美元 今年,4.0,22.0,0
5,外籍築路者在中企成就勵誌人生：“一帶一路”建設，無問西東,2018年 - 中國交通建設股份有限公司(以下簡稱“中國交建”)近日把來自這幾個國傢  坤 張驁】在地圖上以北京為起點，分彆連接南蘇丹、肯尼亞、埃塞俄比亞、,築路者 勵誌 一帶 建設 無問 西東 中企 外籍 人生 成就 一路 中國 埃塞 肯尼 2018 建設 簡稱 交建 這幾個國 張驁 地圖 起點 連接 南蘇丹 俄比亞 交通 近日 有限公司 以下 股份 北京,11.0,20.0,0
6,中國跨國企業穩步成長,巴西，俄羅斯，斯洛文尼亞和以色列的排名已經公布  中國交通建設股份有限公司  年數據的這16 傢企業的平均跨國指數大約為15%（附錶1），比最大的俄羅斯跨.,中國 跨國 企業 穩步 成長 俄羅斯 斯洛文尼亞 已經 中國 建設 數據 16 企業 跨國 指數 大約 15% 以色列 巴西 排名 交通 有限公司 平均 公布 股份 最大,5.0,21.0,0
7,緬甸錦利中國交建將建設緬甸最大城市仰光的新區 - 知乎專欄,"2018年 - 新浪美股訊北京時間消息俄羅斯衛星網報道，新仰光發展公司（NYDC）與中國交通建設股份有限公司(23.19, 0.00,0.00%)一起於簽署",緬甸錦利 中國 交建將 建設 緬甸 新區 知乎 專欄 仰光 城市 最大 2018 美股 時間 俄羅斯衛星 網報 發展 NYDC 中國 建設 23.19 0.00 0.00% 簽署 仰光 新浪 交通 有限公司 消息 一起 股份 北京 公司,11.0,22.0,0
8,來到長城當“好漢” “一帶一路”優秀外籍建設者攀登長城_北京旅遊網,2018年 - ，中國交通建設股份有限公司（簡稱：中國交建）邀請瞭其優秀外籍員工  這些優秀外籍員工分彆來自南蘇丹、塞爾維亞、尼泊爾、肯尼亞、,城當 好漢 一帶 優秀 建設者 旅遊網 攀登 外籍 一路 北京 中國 優秀 外籍 肯尼 2018 建設 簡稱 交建 邀請 瞭其 員工 這些 自南 蘇丹 塞爾維亞 尼泊爾 工分 交通 有限公司 股份,10.0,20.0,0
9,索馬裏海盜事件_互動百科,那麼，中國海軍遠涉重洋打擊索馬裏海盜的時機為何成熟瞭？中國海軍遠洋行動的能力怎麼樣呢？ 據新華社快訊，中國交通建設集團總公司所屬“振華4號”輪，17日,索馬 海盜 互動 百科 事件 中國海 重洋 那麼 軍遠涉 打擊索 海盜 時機 為何 軍遠 怎麼樣 新華社 中國 建設 集團 所屬 振華 17 洋行 成熟 交通 能力 公司,5.0,22.0,0
10,我國在“一帶一路”建設推進的重點項目_一帶一路-中國(上海)國際貿易 ,2016年 - 該項目由中國交通建設集團投資開發建設，於2014年9月正式動工建設，  X8024次中歐班列（義烏-俄羅斯）是上海鐵路局浙江金華貨運中心義烏西,一帶 一路 我國 建設 推進 重點 項目 中國 國際 貿易 上海 建設 路局 2016 項目 中國 集團 投資開 發建設 2014 動工 X8024 中歐 班列 義烏 俄羅斯 金華貨運 義烏西 浙江 交通 正式 中心 上海,11.0,22.0,0
11,交通基礎設施工程標準國際論壇召開多名院士探討相關話題 - 長安大學,2018年 -  科學院AlexanderVasilyev院士、俄羅斯交通科學院SultanZhankaziev  優勢技術和行業標準規範的國際化進程，提高中國交通建設標準的國際,基礎 設施 標準 國際 論壇 召開 探討 相關 話題 安大學 多名 院士 交通 工程 科學院 標準 2018 AlexanderVasilyev 俄羅斯 SultanZhankaziev 優勢 技術 行業 規範 國際化 進程 中國 建設 國際 交通 院士 提高,14.0,18.0,0
12,《國際日報》:中交雅園與中國建設銀行（印尼）簽署閤作協議_媒體集萃_ ,2017年 -  建行倫敦、建行俄羅斯、建行迪拜、建銀國際等多傢子公司，為客戶提供全麵的金融服務。  中交雅園隸屬中國交通建設股份有限公司（中交集團）。,國際 日報 中交雅園 中國 建設 銀行 簽署 作協議 媒體 集萃 印尼 建行 2017 倫敦 俄羅斯 建銀國際 客戶 服務 中交雅園 隸屬 中國 建設 交集 子公司 迪拜 交通 金融 有限公司 股份 提供,11.0,19.0,0
